IDTDOC,IDEPAIS,IDESTGEN,EDAD,IDCODEMUNI,IDCODEDEPTO,IDCOLCALEN,IDCOLGEN,IDCOLNATU,IDCOLBILIN,IDCOLCARAC,IDDESING,IDDESMATH,IDPUESTO
1,1,1,25,11001.0,11.0,1,1,2,0.0,1,4,3,4
1,1,2,23,13001.0,13.0,1,1,1,0.0,4,3,3,4
1,1,1,19,13001.0,13.0,1,1,1,0.0,4,3,3,5
1,1,1,19,13001.0,13.0,1,1,1,0.0,4,3,3,0
1,1,2,20,23660.0,23.0,1,1,1,0.0,1,3,3,0
1,1,2,25,68001.0,68.0,1,1,1,0.0,1,3,4,2
1,1,1,18,23660.0,23.0,1,1,1,0.0,1,2,4,5
3,1,1,18,23660.0,23.0,1,1,1,0.0,1,3,3,0
1,1,1,18,11001.0,11.0,1,1,1,0.0,1,3,4,0
1,1,2,19,23660.0,23.0,1,1,1,0.0,1,3,3,0
1,1,1,27,11001.0,11.0,1,1,1,0.0,1,3,2,0
1,1,2,24,25269.0,25.0,1,1,1,0.0,1,3,3,0
1,1,2,21,23660.0,23.0,1,1,1,0.0,1,3,3,0
1,1,1,19,15759.0,15.0,1,1,1,0.0,1,3,3,4
1,1,2,18,15759.0,15.0,1,1,1,0.0,1,4,4,1
1,1,2,20,15759.0,15.0,1,1,1,0.0,1,4,4,1
1,1,2,9,NOID,NOID,1,1,1,0.0,1,3,2,6
1,1,1,18,15759.0,15.0,1,1,1,0.0,1,2,3,0
1,1,2,28,15759.0,15.0,1,1,1,0.0,1,2,2,0
1,1,1,28,5001.0,5.0,1,1,1,0.0,2,2,3,0
1,1,2,38,5001.0,5.0,1,1,1,0.0,2,3,2,0
1,1,2,38,5001.0,5.0,1,1,1,0.0,2,3,3,2
1,1,1,32,5088.0,5.0,1,1,1,0.0,2,2,2,6
3,1,2,17,5001.0,5.0,1,1,1,0.0,1,3,3,5
1,1,2,22,5001.0,5.0,1,1,1,0.0,1,3,2,6
1,1,1,20,11001.0,11.0,2,2,2,0.0,1,6,4,1
1,1,1,18,25175.0,25.0,2,2,2,0.0,1,5,4,2
1,1,2,19,76834.0,76.0,1,1,2,0.0,1,3,3,6
1,1,2,19,68307.0,68.0,1,1,1,0.0,3,5,5,1
1,1,1,18,68679.0,68.0,1,1,1,0.0,3,3,3,0
1,1,1,19,68679.0,68.0,1,1,1,0.0,3,3,4,1
1,1,1,22,68679.0,68.0,1,1,1,0.0,3,3,3,0
1,1,2,20,11001.0,11.0,1,1,1,0.0,3,3,3,4
1,1,1,21,68081.0,68.0,1,1,1,0.0,3,2,4,3
1,1,1,31,68051.0,68.0,1,1,1,0.0,3,2,3,5
1,1,1,19,68679.0,68.0,1,1,1,0.0,3,3,3,0
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,3,4,2
1,1,1,18,11001.0,11.0,1,1,2,0.0,1,4,5,1
1,1,1,18,11001.0,11.0,1,1,2,0.0,1,5,5,1
1,1,2,26,11001.0,11.0,1,1,2,0.0,1,5,5,1
1,1,2,24,11001.0,11.0,1,1,2,0.0,1,6,5,1
1,1,2,19,11001.0,11.0,1,1,2,0.0,1,6,5,1
1,1,1,20,11001.0,11.0,1,1,2,0.0,1,4,3,4
1,1,2,19,11001.0,11.0,1,1,2,0.0,1,6,5,1
1,1,1,18,11001.0,11.0,1,1,2,0.0,1,3,3,0
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,3,4,1
1,1,1,18,11001.0,11.0,1,1,2,0.0,1,3,3,0
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,5,3,1
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,5,5,1
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,4,3,2
1,1,1,18,11001.0,11.0,1,1,2,0.0,1,5,4,1
1,1,2,18,11001.0,11.0,1,1,2,0.0,1,4,4,0
1,1,2,18,73067.0,73.0,1,1,1,0.0,2,2,2,6
1,1,2,18,73067.0,73.0,1,1,1,0.0,2,3,4,3
1,1,1,22,73067.0,73.0,1,1,1,0.0,2,3,2,6
1,1,1,18,73067.0,73.0,1,1,1,0.0,2,3,3,0
1,1,2,52,5266.0,5.0,1,1,2,0.0,1,2,4,0
1,1,2,22,11001.0,11.0,1,1,2,0.0,1,3,4,3
1,1,1,31,44430.0,44.0,1,1,1,0.0,4,3,3,0
1,1,1,23,47001.0,47.0,1,1,1,0.0,4,2,3,4
1,1,1,36,68547.0,68.0,1,1,2,0.0,2,3,3,4
1,1,2,21,68001.0,68.0,1,1,2,0.0,2,5,5,1
1,1,1,28,68001.0,68.0,1,1,2,0.0,2,4,6,1
1,1,2,19,73001.0,73.0,1,1,1,0.0,2,4,4,1
1,1,1,20,73001.0,73.0,1,1,1,0.0,2,3,4,2
3,1,2,17,41016.0,41.0,3,1,1,0.0,1,3,2,0
1,1,2,23,73067.0,73.0,3,1,1,0.0,1,3,3,5
1,1,2,21,41016.0,41.0,3,1,1,0.0,1,3,4,0
1,1,1,18,41016.0,41.0,3,1,1,0.0,1,3,3,6
1,1,2,20,68755.0,68.0,1,1,2,0.0,1,3,4,2
1,1,1,18,15759.0,15.0,1,1,2,0.0,1,3,3,3
1,1,1,22,54001.0,54.0,3,1,1,0.0,3,2,2,0
1,1,2,21,25175.0,25.0,1,1,1,0.0,1,3,4,2
1,1,1,18,25175.0,25.0,1,1,1,0.0,1,3,3,4
1,1,1,18,25175.0,25.0,1,1,1,0.0,1,3,3,5
1,1,2,23,13001.0,13.0,1,1,1,0.0,1,3,1,0
3,1,2,17,13001.0,13.0,1,1,1,0.0,1,3,3,0
1,1,1,23,13001.0,13.0,1,1,1,0.0,1,3,3,0
1,1,2,24,11001.0,11.0,1,1,1,0.0,1,3,3,3
1,1,2,20,11001.0,11.0,1,1,1,0.0,1,4,5,1
1,1,2,22,11001.0,11.0,1,1,1,0.0,1,3,4,1
2,1,1,18,11001.0,11.0,1,1,1,0.0,1,3,3,0
1,1,1,19,11001.0,11.0,1,1,1,0.0,1,3,4,2
1,1,2,19,11001.0,11.0,1,1,1,0.0,1,3,3,5
1,1,2,22,25754.0,25.0,1,1,1,0.0,1,3,3,4
1,1,2,20,11001.0,11.0,1,1,1,0.0,1,3,4,3
1,1,2,19,11001.0,11.0,1,1,1,0.0,1,5,5,1
1,1,2,20,50001.0,50.0,1,1,2,0.0,1,3,3,6
3,1,1,17,50001.0,50.0,1,1,2,0.0,1,3,3,4
1,1,2,18,11001.0,11.0,1,1,1,0.0,1,4,4,2
3,1,1,17,41319.0,41.0,3,1,2,0.0,1,3,3,6
3,1,2,17,41319.0,41.0,3,1,2,0.0,1,3,4,3
1,1,1,20,41551.0,41.0,3,1,2,0.0,1,3,4,0
1,1,2,22,73268.0,73.0,3,1,2,0.0,1,3,3,4
1,1,2,24,25473.0,25.0,3,1,2,0.0,1,2,3,4
1,1,2,19,11001.0,11.0,1,1,1,0.0,1,3,3,4
1,1,2,22,NOID,NOID,1,1,1,0.0,1,3,3,0
1,1,2,25,11001.0,11.0,1,1,1,0.0,1,2,3,0
1,1,2,20,13001.0,13.0,3,1,1,0.0,1,2,3,6
1,1,2,19,13001.0,13.0,3,1,1,0.0,1,2,2,0
